COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32049 
 NOMBRE    : SAN FRANCISCO (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : GENERAL FRANCISCO R. MURGUÍA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.32472222 ° 
 LONGITUD  : -102.885 ° 
 ALTITUD   : 1680 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1965	2	3	0	25.5	10	24.5	40.5	109	131	0	5	40.02	390.52	32.5	12
1966	7.5	9	15.5	8.5	35.5	25.5	81.5	149.5	24.5	26.5	11.5	0	395	32.9	12
1967	30.5	7	16.5	0	1.5	28.5	44.5	121	41	57	0	2	349.5	29.1	12
1968	13.5	22.5	32.5	39	5.5	38	99.59	79	133	17	0	27	506.59	42.2	12
1969	2.5	0	0	0	2	20.5	35.5	27.5	42.5	8.5	23.5	15.5	178	14.8	12
1970	10	26	0	0	5	76.5	29.5	34.5	119	20	0	0	320.5	26.7	12
1971	10	0	0.5	0	27.5	85.5	15.5	103.5	37.5	61.5	0	6.5	348	29	12
1972	3	1	0	3.5	39.5	80	40.5	42	41.5	6.5	27	2.5	287	23.9	12
1973	21.5	15.5	0	0	15	22.5	112.63	201.02	78.5	17	0	1	484.65	40.4	12
1974	0	0	4	16.5	19.5	18	16	94	62.5	27.5	3.5	13.5	275	22.9	12
1975	15	2	0	0	9.5	21	102.5	47.5	22	62.5	0	15	297	24.8	12
1976	0.5	0	0	6.5	4.5	38	154.5	16	151.57	17.5	67.5	14	470.57	39.2	12
1977	7.5	0	0	12	0.5	49	32.5	90	15	60	0	1	267.5	22.3	12
1978	0	3.5	7	0	9	35	60	66.5	169.5	65	0	7.5	423	35.2	12
1979	0.5	7.5	2	4	3	38.5	24.5	47	32	0	4	37	200	16.7	12
1980	6	22.5	0	0	1	0	32	72	38	30.5	4.5	12	218.5	18.2	12
1981	34.5	18	4.5	10.5	25	35.5	40.5	93.1	89	30.5	0.5	11	392.6	32.7	12
1982	6	0	11	0	45.5	25.5	33.5	24.5	18.5				164.5	18.3	9
1983	6.07	0.01	11.02	0	45.57	25.57	33.5	129.5	74	8	7	0	340.24	28.4	12
1984	17	2.5	0	0	19.5	70.5	92.5	60	33	5.5	0	23	323.5	27	12
1985	16	0.5	0	11.5	11.5	52.5	108.5	116	13.5	64	5.5	17	416.5	34.7	12
1986	2	7.5	0	37	60.5	136.07	69.5	50.5	118.5	41	11	17.5	551.07	45.9	12
1987	66.04	28	0	24.5	26	68.03	108.5	53.5	99	19.5	5.5	11	509.57	42.5	12
1988	0	0	0.5	39.5	7.5	76.5	161	64	37	2.5		0	388.5	35.3	11
1989	0	0.53	4.01	0.08	11.01	3.04	26.61	178.57	44.08	27.01	35.52	39.03	369.49	30.8	12
1990	13.53	6.03	1.06	0.04	14.06	23.04	192.58	113.05	82.04	44.5	0.02		489.95	44.5	11
1991	1.01	6.06	0	0	14.02	21.04	177.03	67.04	107.55	41.5	6.02	31.57	472.84	39.4	12
1992	93.52	2.04	3.06	1.05	28.1	21.06	32.1	45.6	21.12	20.57	18.55	4.02	290.79	24.2	12
1993	4.55	0.01	2	0.03	27.05	26.04	55.55	68.57	101.58	4.04	43.5	0.02	332.94	27.7	12
1994	12.53	0.01	13.03	21.02	13.08	63.05	55.08		46.54	12.56	17.54	26.04	280.48	25.5	11
