COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32045 
 NOMBRE    : RIO GRANDE (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : RÍO GRANDE 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.81694444 ° 
 LONGITUD  : -103.0258333 ° 
 ALTITUD   : 1902 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2024		16	0	0	0	29.2	38.2	20					103.4	14.8	7
MÍNIMA	0	0	0	0	0	0	0	3.2	0	0	0	0	0	0	1
MÁXIMA	50	46.8	43.8	115	40	65.2	135	53	143.86	90	146.64	25	397.91	33.2	12
MEDIA	6.3	5.1	3.1	4.2	6.9	19.9	23.3	21.8	29	14.5	10.1	5.2	136.7	12.2	10.9
DESV.ST	10.3	8.8	7.2	14.5	8.7	12.9	18.7	11	20.6	16.2	20.3	7.1	66.4	5.2	2.4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1922						32.7	30.12	29.72	129.94	8.2	0.04	0	230.72	33	7
1923	0.01	27.2	15.73	0	2.54	19.49	52.93	80.67	103.45	97.54	107.73	15.5	522.79	43.6	12
1924	0	0	0	0.01	0.02	12.62	39.1	14.11	108.5	0	0	24.3	198.66	16.6	12
1925	0	0	47.6	0	1.5	37.4	33.6	39.93	190.91	15	51.9	81.44	499.28	41.6	12
1926	46.1	0	5	4.01	26.1	95.54	112.04	145.2	29.62	11.91	5	0.01	480.53	40	12
1927	0	0.02	0	5.01	0.28	157.51	179.53	68.01	120.51	128.01	0	25.21	684.09	57	12
1928	0.03	0.01	0.03	0	20.07	20.03	8.02	66.52	234.53	15.01	36.01	0	400.26	33.4	12
1929	0.02	0	0	5	0.01	2.02	73.54	83.05	24.55	17	32.01	2.02	239.22	19.9	12
1930	4.01	6.5	0.01	26.52	59.55	59.55	154.53	49.51	40.01	86.53	65.02	8.03	559.77	46.6	12
1931	57.5	23.04	0	11.52	63.04	60.02	102.04	69.07	39.05	3.05	0.02	26.5	454.85	37.9	12
1932	11	22.02	0	0	0.03	0.1	72.58	36.57	79.56	0.01	0	0	221.87	18.5	12
1933	0.02	20	0	0	0.03				81.55	11.03	0	0	112.63	12.5	9
1934	4	4.5	2.5			75.02	176.52	88.54	102.04	26.55	2.02	5.54	487.23	48.7	10
1935	15.01	21.02	5.01	0	28	158.04	139.52	24.08	231.14	14.71	14.7	0.03	651.26	54.3	12
1936	0.02	0.04	0.01						96.53			0.05	96.65	19.3	5
1941										7.63	12.21	42.7	62.54	20.8	3
1942	11.3	9.81	1.81	5.03	1.5	26	26	13.91	75.23	59.82	17.24	0.02	247.67	20.6	12
1943	36.01	0	0	10.51	0	157.52	164.53	49.01	182.02	75.19	12.27	6.53	693.59	57.8	12
1944	9	21.01	35	0		29.53	108.72	140.03	110.53	16.5	49.52	0.01	519.85	47.3	11
1945	12.05	0	6	0	0.03	52.53	96.05	78.6	26.52	0.03	0.01	0.02	271.84	22.7	12
1946										0	0.01	42.01	42.02	14	3
