COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32005 
 NOMBRE    : CAÑITAS DE FELIPE PESCADOR 
 ESTADO    : ZACATECAS 
 MUNICIPIO : CAÑITAS DE FELIPE PESCADOR 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.60222222 ° 
 LONGITUD  : -102.7338889 ° 
 ALTITUD   : 2046 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981	42	10.5	4	35	28	24.1	73.8	90.5	60.5	26.5	0	8	402.9	33.6	12
1982	0	0	0	0	16	8	46.4	37.7	78	47.2	13.6	24.3	271.2	22.6	12
1983	28.5	0	3	0	92	7.5	77	113	50	20	21	0	412	34.3	12
1984	18	0	0	0	43.5	21	93	104	0	7	0	14	300.5	25	12
1985	9	8	0	32	0	102	95	48	30	23	0	33	380	31.7	12
1986	0	0	0	0	25	96	62	34	83	32	1	3	336	28	12
1987		19		8	16	40	66	51	86		7	25	318	35.3	9
1988	0	0	0	19	4	65	150	100	39	3	0	1	381	31.8	12
1989		0	0	0	7	7	66	61	53	5	23	8	230	20.9	11
1990	8	0		3	17	63.02	93.04	125.03	8.04	69.03	5.01	0	391.17	35.6	11
1991	0	7.01	0	0	0.01	18.04	226.05	45.01	112.05	39	1.5	34.72	483.39	40.3	12
1992	93.21	0	2	1.01	33.52	17.5	57.03	19.06	68.54	50.03	23	4	368.9	30.7	12
1993	29.01	5	0	1.01		44.04	45.02	124	44.01	4.02	14	0.01	310.12	28.2	11
1994	6.01	0.01	12.01	19	21.01	84.02	64.5	44.03				3	253.59	28.2	9
1995	5.01	2.01	0	0	9.5	60	80.53	90	65	0.02			312.07	31.2	10
1996							10	194.2	218.21	273.7	5.2	0	701.31	116.9	6
1997	18.61	14.6	26.5	26.5	38.8	30.7	35.4	36.6	24.5	10	7.2	8	277.41	23.1	12
1998	0	2.6	0	0	0	122.8	17.7	179.9	42.8	3.2	15.5	0	384.5	32	12
1999	0	0	0	0	0	85	42.8	35.6	14.8	1.2	0	8.5	187.9	15.7	12
2000	0	0	0	0.8	31.5	134	73.8	44.5	14.5	20.3	0	16	335.4	28	12
2001	0	2	0	9.9	13.5	33.7	32.5	77.5	36	9	4.5	2.5	221.1	18.4	12
2002	13	44	0.3										57.3	19.1	3
2005	0.5	60.5	0	0	8	5.5	110.5	96	31.5	46	8	1.5	368	30.7	12
2006	37.5	0	0	0	31.5	22	82	91	68.5	40	0	24.5	397	33.1	12
2008	0	6	0	0	14	29	81	132	163.5	20	0	0	445.5	37.1	12
2009	0	0	3.5	5.05	4.05	69	18.2	84	86.8	14	0	6	290.6	24.2	12
2010	0	49	0			2	87.5	27	73.2	0	0	0	238.7	23.9	10
2011	0	0	0	0	7	9	35.3			23	2	0	76.3	7.6	10
2012		12	0	0		28.5	73.5	70			5.51		189.51	27.1	7
2013	21	0	0	0	12	22	162	79	169	33	25	84	607	50.6	12
2014	17	0	2	0	12.3	95.6	53	60	115	12	15	16	397.9	33.2	12
2015	17	60	87	15	6	214	46.3	66.2	112	106.8	5.7	0	736	61.3	12
2016	1.6	3.9	14	0	46.6	45.4	69.6	148.4	184.2	14.5	29.6	5.9	563.7	47	12
2017	0	0	19	1.2	7.1	57.1	183.4	81.5	121.8	2.6		41.11	514.81	46.8	11
2018	53	20.8	0	8.5	22.4	139.9	35.2	76.6	172.8	102.61	23.6	0.2	655.61	54.6	12
2019	5.4	8.3	1.3	0	0							35.9	50.9	8.5	6
2020	20.7	5.7	0.9	7.5	3.4	24.7	89.2	89.3	70.9	0	0	2.3	314.6	26.2	12
2021	1.8	0	0	5	18.6	74.6	121.2	64.6	67		0	3.1	355.9	32.4	11
2022	0	2.6	0	2.2	0.3	25			153.3	19.5	0	3.1	206	20.6	10
2023	0	0	0	7.3	13.4	2	44.2						66.9	9.6	7
2024	0	60.9	0	0	0	110	189	0					359.9	45	8
MÍNIMA	0	0	0	0	0	2	1	0	0	0	0	0	30	7.6	1
MÁXIMA	93.21	60.9	87	53.5	110.6	214	227.5	206	218.21	273.7	61	84	736	116.9	12
MEDIA	9.8	8.2	4.7	6.6	18.9	54	72	79.9	74.4	32.4	9.6	13.5	350.5	31.8	11
DESV.ST	15.6	14.8	12.8	12.4	24.2	44.5	46.8	47.5	51.4	39.6	14	18	153	15	2.3

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1997						169.8	242.48	246.3	191.77	171.9	144.2	152.7	1319.15	188.4	7
1998	150.85	205.66	324.85	370.95	381.9	288.6	281.05	191.51	120.65	157.4	127.5	138.75	2739.67	228.3	12
1999	160.75	164.75	286.75	326.9	337.25	227.4	207.35	240.2	201.05	188.6	149.4	132.25	2622.65	218.6	12
2000	162.85	183.15	285.7	302.2	280.55	183.45	239.35	195.3	217.85	167	168.5	111.05	2496.95	208.1	12
2001	149.2	178.45	266.45	277.05	256.5	234.3	260.05	241.6	179.85	174.6	140.75	129.7	2488.5	207.4	12
2002	166.6	148.05	286.65										601.3	200.4	3
2005	116.95	120.15	191.95	266.7	303.37	284.7	221.7	175.3	167.5	143.65	138	115.45	2245.42	187.1	12
2006	110.2	127.2	253.45	331.3	312.5	239.85	215.55	227.4	181.8	220.15	148.85	119.35	2487.6	207.3	12
2008	160.4	204.6	275	300.5	284.65	269.3	200.3	177.7	126.25	127.4	129.3	131.85	2387.25	198.9	12
2009	150.05	160.9	242.8	283.65	236.1	235.15	241.8	222.68	195.77	85.3			2054.2	205.4	10
MÍNIMA	110.2	120.15	191.95	266.7	236.1	169.8	200.3	175.3	120.65	85.3	127.5	111.05	601.3	187.1	3
MÁXIMA	166.6	205.66	324.85	370.95	381.9	288.6	281.05	246.3	217.85	220.15	168.5	152.7	2739.67	228.3	12
MEDIA	147.5	165.9	268.2	307.4	299.1	237	234.4	213.1	175.8	159.6	143.3	128.9	2144.3	205	10.4
DESV.ST	20.3	30.6	37	34.2	46.1	41	26	28.3	32.9	38.3	13	13.5	673.6	12.5	3.1

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956								22.2	23	22.8	19	17.5		20.9	5
1957	20.9	17.4	15.4	16.6	22.4	24.6	23.5	23.1	22.5	21	19	15.9		20.2	12
1958	15.3	16.6	19.1	23.4	23.7	24.3	23.7	25.4	22.2	18.5	19.9	16.4		20.7	12
1959	16.7	18.3	21	23.4	25.4	25.5	24.6	25	24	22.3	22.1	18.2		22.2	12
1960	16.2	16.6	22.4	22.9	25.8	26.9	25.2	24	23.1	24.2	22.6	18.3		22.4	12
1961	17.7	17.5	21.1	25.8	28.3	25.8	24	24.4	24.8	23.2	22	20		22.9	12
1962	17.7	20.3	22.3	23.5	27.8	26.6	25.9	25.8	23.2	23.5	20.9	16.9		22.9	12
1963	19.6	20.2	23.9	27.7	27.3	26.6	25.7	26.1	23.9	19.6	20.2	15.4		23	12
1964	14.8	19.3	21.9	25.7	25.9	26	25.9	25.5	22.9	19.1	20.8	18.4		22.2	12
1965	16.9	17.1	22.8	24.5	27.2	23.7	21.8	22.3	22.9	20.3	21.9	16.7		21.5	12
1966	13.9	14.9	19.7	23.3	25.2	25.9	24.9	23	24.2	21.2	20.7	17.8		21.2	12
1967	14.4	21.2	22.5	25	27.6	26.5	23.2	21.2	20.1	19.5	20.8	16.9		21.6	12
1969	21.3	21.9	23	28.3	28.9	30.8	28	27.1	24.9	26.2	23.9	20.4		25.4	12
1970	20.2	19.9	23.2	29.7	28.9	28.7	30.2	27.2	23.8					25.8	9
1973										24.9	26.6	22.1		24.5	3
1974	24.7	25.2	27.8	30	32.8	31.5	28.7	29.7	28.1	25.5	24.4	20.7		27.4	12
1975	21.7	24.7	28.8	32.1	31.3	32.6	31.4	31	29.5	27.4	26.9	22.1		28.3	12
1976	22.1	24.8	28.1	28.9	31	30.3	25.6	27.3	29.1	25.4	19.8	19.6		26	12
1977	21.9	24	28.9	26.6	31.6	29.3	29.1	30.3	29.8	30.1	24.3	25.6		27.6	12
1978	23.3	24.2	28.6	30.4	36.5	34.1	31.8	31	25.9	26.2	24.5	22.8		28.3	12
1979	22.1	22.9	28.3	34	35	31.7	32.3	27.9	26.2	28.6	24.4	20.2		27.8	12
1980	27.4	28.4	27.2	32.5	35.4	36.9	31.3	31.6	31.5	26.9	27.1	19.9		29.7	12
1981	20.3	21.3	27.1	26.2	29.7	29.6	27.8	27.8	26.2	26.6	25.8	21		25.8	12
1982	23.4	24.8	27	30.4	30.1	32	27.7	27.1	27	24.7	21.9	20.3		26.4	12
1983	15.6	20.8	23.5	28.2	29.9	30	27.1	25.2	25	24.8	23	22.3		24.6	12
1984	18.7	19.3	25.8	29.6	29.7	28.6	22.5	25.1	24	24.5	23.6	21.5		24.4	12
1985	16.9	21.7	24.5	25.6	30.1	27.9	24.9	26.7	26.2	24.1	23.6	20.2		24.4	12
1986	20.5	22.2	23.4	27.6	27.7	25.3	24.3	26.5	24.9	22.4	23	19.2		23.9	12
1987		20.1		25.6	26.9	28	25.2	26.6	25.2	23	21.8	20.3		24.3	10
1988	18.5	22.6	23.6	26.5	29.4	26.2	23.8	23.6	24.1	24.1	23.2	22.5		24	12
1989		21.6	29.6	26.7	29.4	29	27	24	23.6	25.2	22.4	14.7		24.8	11
1990	19.6	22.5		25	28.3	27.6	23.7	23.7	22.8	23.5	22.1	21.5		23.7	11
1991	20.4	21.9	26.8	27.5	30.4	28.1	22.2	25.3	22.3	21.7	20.8	18.4		23.8	12
1992	14.8	18.5	22.7	24.8	25.8	28.7	25.8	26.3	24.6	22.1	20.5	20.3		22.9	12
1993	20.1	23	22.7	25		27.7	26.6	25	23.8	25	22.8	22.1		24	11
1994	19.5	24.2	24.6	26.2	29.8	27.7	26.2	25.2				23.1		25.2	9
1995	20.3	21.9	24.3	27.3	30.5	28.9	25.6	23.7	29.6	25.9				25.8	10
1996							27.8	25	23.6	21.1	20	20.3		23	6
1997	18.7	21.2	22.3	22.4	26.8	29.7	28.1	29.2	27.4	25.6	24.5	21.9		24.8	12
1998	22.2	22.6	26.5	30	33.1	32.2	29.3	26.5	24.9	25.8	24.4	22.9		26.7	12
1999	22.8	25.4	27.2	30.5	31.5	29	26.5	28.3	27.1	25.2	23.1	21.7		26.5	12
2000	23.1	25.5	27.2	30	30.4	25.6	29	26.1	27.6	25.8	24.8	22.8		26.5	12
2001	20.9	24.1	25.5	31.2	29.1	29	30.6	28.1	25.8	26	22.4	21.6		26.2	12
2002	22.6	21.8	26.8											23.7	3
2005	22.4	21.3	23.9	29.8	31.2	32.9	29.5	26.3	27.5	26.1	24.4	22.7		26.5	12
2006	21.5	25.2	27.9	30.9	31.5	30.2	30.6	30.6	25.7	27.4	22.6	20.2		27	12
2008	22.4	24.8	25.3	29.8	31	31.9	27.9	27.5	23.2	23.2	23.1	24		26.2	12
2009	22.5	25	27.6	28.7	31.9	29.9	30.2	29.5	26.4	25.9	22.5	21		26.8	12
2010	20	17.1	25.1			30.4	27.6	27.5	25.1	24.8	22.3	21.4		24.1	10
2011	21.4	24.4	27.4	30.4	31.5	30.8	27.6			25.2	23.2	22.8		26.5	10
2012		21.5	26.4	28.4		29.8	27.1	28.3			24.1			26.5	7
2013	19.3	23.6	23.9	25.6	26.6	26.9	25.9	26.5	23.7	24.6	21.6	22.6		24.2	12
2014	19	25.5	25.6	27.3	29.3	29.1	26.8	27.6	23.9	23.8	20.1	19.8		24.8	12
2015	20.6	20.8	21.9	25	28.2	25.9	25.8	27.2	25.4	23.8	24.2	21.4		24.2	12
2016	20.3	23.4	24.4	27.1	28.3	27.4	27.8	27.9	27	25.6	21.7	21.4		25.2	12
2017	20.5	24.9	26.9	28.7	30.2	31	27.8	27.6	24.9	25		21.4		26.3	11
2018	21.8	23.5	28.6	29.4	30.8	29.6	28.9	28.3	25.2	24.8	23.5	21.1		26.3	12
2019	23.5	25.9	28.3	29.2	30.2							21.8		26.5	6
2020	20.7	23.4	27.7	29.6	31	30	28.6	28.7	26.8	24.7	23.3	22		26.4	12
2021	21.1	22.8	23.3	30.7	30.8	28.4	25.6	26.8	26		25.8	26.4		26.2	11
2022	25.1	25.1	29.2	31.6	33.2	31.4			27.4	26.2	26.7	26.4		28.2	10
2023	25.5	27.1	30.7	31.1	31.4	34.9	31.8							30.4	7
2024	19.6	21.3	26.3	31.3	33.8	31.2	28.8	29.3						27.7	8
MÍNIMA	13.9	14.9	15.4	16.6	22.4	23.7	21.8	21.2	20.1	18.5	19	14.7		20.2	3
MÁXIMA	27.4	28.4	30.7	34	36.5	36.9	32.3	31.6	31.5	30.1	27.1	26.4		30.4	12
MEDIA	20.3	22.1	25.1	27.7	29.6	29	27	26.6	25.3	24.3	22.8	20.6		25	10.9
DESV.ST	2.9	2.9	3	3.1	2.8	2.7	2.6	2.3	2.2	2.4	2	2.5		2.2	2.2

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956								25	27	27	25	23		25.4	5
1957	25	23	24	25	30	30	29	29	27	25	25	21		26.1	12
1958	23	25	26	29	29	30	27	28	27	25	24	24		26.4	12
