COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32004 
 NOMBRE    : CAMACHO (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : MAZAPIL 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.44388889 ° 
 LONGITUD  : -102.3736111 ° 
 ALTITUD   : 1665 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1940	28	28	32	37	36	36	35	35	36	35	31	30		33.2	12
1962											29	27		28	2
1963	28	29	34	37	37	38	36	35	34	39	30	26		33.6	12
1964	32	31	32	35	38	37	36	37	34	36	33	29		34.2	12
1965	26	28	34	35	39	38	38	38	37	35	34	29		34.2	12
1966	29	26	37	35	38	38	37	36	34	33	30	29		33.5	12
1967	36	31	36	38	39	37	36	36	34	31	32	36		35.2	12
1968	28	29	34	36	37	38	38	37	37	33	32	29		34	12
1969	28	29	36	39	38	39	37	39	37	37	33	29		35.1	12
1970	28	28	32	37	36	36	39	35	36	35	31	30		33.6	12
1971	29	31	35	39	37	39	36	33	33	32	32	27		33.6	12
1972	27	31	32	39	38									33.4	5
1991									25	35		29		29.7	3
1992	25	25	27	25					34	30	30			28	7
1993						35	36	35	32	33	29	27		32.4	7
1994	26	27	31	33	36		35	33	29	29	27	28		30.4	11
1995	27	28	34	35	39	39	35	37	34	33	31	30		33.5	12
1996	29	32	31	35	39	36	36	37	35	33	33	28		33.7	12
1997	27	28	30	33	36	36	36	33	32	32	29	27		31.6	12
1998	27		36	37	38	36	36		32	34	29	27		33.2	10
1999	26	29	29	36	36	36	33	34	31	30	26	28		31.2	12
2000	27.5	29	31	34	35	32	32	31	32	30	27.5	24.5		30.5	12
2001	24.5	28	29	35	34	33	33	31	32	30	25	24.5		29.9	12
2002	27	26	32	35	35	34	34	32	34	29	28	26		31	12
2003	26	28	30	32	37	35	32	32	32	31	28	23		30.5	12
2005	26	26	30	32	33	35	33	32	30	30	27	24		29.8	12
2006	25		30	33	34	33	30	31	28	27	25	24		29.1	11
2008	26	28	28	33	32	34	30	31	28		25	26		29.2	11
2009	27	29	30	33						33	25	25		28.9	7
2010	25	22	29	31	36	34	31	31	30	27	28	15		28.2	12
2011	16	15	18					34	34	33	29			25.6	7
2012	28	29	31	38	38	39	33	33	32	31	28	26		32.2	12
2013	27	29	33	37	37	37	36	34	32	39	28	29		33.2	12
