date,rain,evap,t_max,t_min,bayo_price,urea_price
2002-09-30,3.8222592592592592,4.870791666666666,24.801458333333336,10.723333333333333,8.625,4508.974358974359
2002-10-31,1.7599320882852292,4.233978494623655,24.96527514231499,8.766484819734345,8.5,4546.153846153846
2002-11-30,0.6059607843137255,3.2985416666666665,21.320444444444444,4.207333333333334,8.375,4583.333333333333
2002-12-31,0.0183701188455008,3.357,20.03735768500949,0.9907613851992412,8.25,4620.51282051282
2003-01-31,0.1599151103565365,3.259731182795699,20.348000377287303,1.6925014148273911,8.125,4657.692307692308
2003-02-28,0.4517838345864662,4.883756493506493,21.845751879699247,3.973806390977444,8.0,4694.871794871795
2003-03-31,0.0066205837173579,7.336351906158358,24.945775729646694,4.207066052227343,7.875,4732.051282051282
2003-04-30,0.0369047619047619,7.636974074074074,27.363968253968256,8.413650793650794,7.75,4769.2307692307695
2003-05-31,0.6160829493087557,9.25679211469534,31.554032258064517,11.65548387096774,7.625,4806.410256410257
2003-06-30,2.802047619047619,6.947796296296297,28.541587301587303,13.136825396825396,7.5,4843.589743589744
2003-07-31,3.6538732718894007,5.243326164874552,24.78824116743472,12.024170506912442,7.375,4880.7692307692305
2003-08-31,3.146267281105991,5.261161290322581,25.353302611367127,11.329339477726576,7.25,4917.948717948718
2003-09-30,5.744526315789473,4.102848484848485,24.019298245614035,11.841052631578949,7.125,4955.128205128205
2003-10-31,1.830721966205837,3.650850439882698,22.87572964669739,8.012596006144394,7.0,4992.307692307692
2003-11-30,0.014532679738562,4.032958333333333,23.71333333333333,5.473485838779956,6.875,5029.48717948718
2003-12-31,0.0021863799283154,3.661433691756272,20.441756272401435,-0.9442652329749104,6.75,5066.666666666667
2004-01-31,1.5895483870967742,2.548294930875576,16.89010752688172,1.86752688172043,6.625,5103.846153846154
2004-02-29,0.1366206896551724,4.84667487684729,20.352413793103448,0.8963218390804597,6.5,5141.025641025641
2004-03-31,0.971820276497696,6.213440860215054,24.26198156682028,5.464746543778802,6.375,5178.205128205129
2004-04-30,0.2177435897435897,7.538222222222222,25.766153846153845,6.018717948717949,6.25,5215.384615384615
2004-05-31,1.0748617511520735,7.680483870967742,28.157834101382488,9.814516129032258,6.125,5252.5641025641025
2004-06-30,3.8095777777777777,5.638833333333333,26.28088888888889,11.750222222222222,6.0,5289.74358974359
2004-07-31,3.339966205837173,5.48978494623656,25.598494623655917,11.414485407066053,5.875,5326.923076923077
2004-08-31,3.641870967741936,5.248333333333333,25.18039938556068,11.555253456221198,5.75,5364.102564102564
2004-09-30,6.071955555555556,3.554055555555556,23.130444444444443,11.101555555555557,5.625,5401.282051282051
2004-10-31,0.7618433179723502,4.11241935483871,24.759447004608298,8.228341013824885,5.5,5438.461538461539
2004-11-30,0.1572307692307692,3.5730833333333334,21.528205128205126,2.425641025641026,5.375,5475.641025641025
2004-12-31,0.0159305210918114,2.7205645161290324,19.070719602977668,0.8957816377171216,5.25,5512.820512820513
2005-01-31,0.1678681626928471,3.719419354838709,20.48299120234604,1.677565982404692,5.125,5550.0
2005-02-28,1.9049511978704528,3.990876623376624,19.76866883116883,4.838961038961039,5.0,5587.179487179487
2005-03-31,0.0603238556674741,6.727126099706744,22.39296187683285,3.2865102639296184,5.0,5624.358974358975
2005-04-30,0.0648115942028985,8.362318181818182,27.95550724637681,6.630869565217392,5.0,5661.538461538462
2005-05-31,0.1993267882187938,9.019173998044964,29.4741935483871,8.881206171107994,5.62,5698.717948717949
2005-06-30,0.305159420289855,9.92760606060606,31.427971014492755,11.66768115942029,7.5,5735.897435897436
